iter	F1	Logloss
0	0.9015406852	0.6249972986
1	0.9079666538	0.5679987153
2	0.9088859426	0.5213867897
3	0.9097839905	0.4817299204
4	0.9101323763	0.4481693722
5	0.9104969478	0.4177504996
6	0.9106030667	0.3926832714
7	0.9114729993	0.370524347
8	0.9110044642	0.3528744429
9	0.9108587158	0.3379183
10	0.9105725229	0.3246556016
11	0.9116034284	0.310760427
12	0.9123080923	0.2992398191
13	0.9127547999	0.2889049697
14	0.9133223117	0.2800106474
15	0.9134963311	0.2733116969
16	0.9142610825	0.266886433
17	0.914501876	0.2613039368
18	0.9149275946	0.2558687759
19	0.9153459591	0.2514649572
20	0.9153326474	0.2478969689
21	0.9153739565	0.2441890918
22	0.9157937708	0.2408630877
23	0.9163055613	0.238033663
24	0.9166801057	0.2353667777
25	0.9168024354	0.2332672919
26	0.9168961657	0.2309187306
27	0.9169039878	0.2291857773
28	0.9170075381	0.2272018392
29	0.9176385367	0.2254912797
30	0.9179441346	0.223795719
31	0.9182685712	0.2226213618
32	0.9187358271	0.2211379077
33	0.9188823978	0.2199175144
34	0.9189835607	0.2187066727
35	0.9191745419	0.2177052787
36	0.9193767665	0.2168192772
37	0.9193417985	0.2158724898
38	0.919514729	0.2149897073
39	0.919672378	0.2140720503
40	0.9199011854	0.2134047647
41	0.9197781708	0.2126392338
42	0.9198615985	0.2118514294
43	0.9200015246	0.2112179462
44	0.9203894466	0.2104237502
45	0.9204282304	0.2096608645
46	0.9205203424	0.2089818843
47	0.9205542836	0.2083843201
48	0.9205478534	0.2079582159
49	0.9207781514	0.2074071929
50	0.9207013911	0.2068503824
51	0.9210115594	0.2064036976
52	0.9210665786	0.2058854784
53	0.9210423593	0.2055819776
54	0.9212257053	0.2052372867
55	0.9211530635	0.2047986531
56	0.9212225692	0.2047059092
57	0.9212791882	0.2043913451
58	0.9214027846	0.2040288644
59	0.9214279866	0.2037281582
60	0.9215263696	0.2033452753
61	0.9217379834	0.2029962954
62	0.9217070793	0.2028429902
63	0.9218146903	0.2025282912
64	0.921937151	0.2021927055
65	0.9219284343	0.2019113459
66	0.9221286415	0.2016659454
67	0.9221086144	0.2015155209
68	0.92231598	0.2012685315
69	0.9224239723	0.2009255917
70	0.9224311353	0.2006845387
71	0.9224579702	0.2004655016
72	0.92255878	0.2002819728
73	0.9224651317	0.2000290799
74	0.9224296384	0.1999886871
75	0.9224013084	0.1999416932
76	0.9225489366	0.1996542345
77	0.9225432703	0.1996128764
78	0.9225560923	0.1994162892
79	0.9225247808	0.1992557219
80	0.9226637594	0.199104385
81	0.9227302931	0.198938567
82	0.9227586365	0.1987718031
83	0.9228296156	0.1986260388
84	0.9226676791	0.1984851153
85	0.9227855053	0.1983459905
86	0.9228338112	0.1983171304
87	0.9228153286	0.1982092139
88	0.9229175966	0.1981105001
89	0.922988564	0.1979257823
90	0.9230694055	0.197736881
91	0.9230240454	0.1977182768
92	0.9231857314	0.1975922285
93	0.9232963869	0.1974711101
94	0.9232111846	0.197309775
95	0.9234056024	0.1971355351
96	0.9234282939	0.1969257651
97	0.9235261782	0.1967782463
98	0.923565897	0.1966857817
99	0.9235602227	0.1965297434
100	0.9236340272	0.196429948
101	0.9236623972	0.1964073136
102	0.9236311735	0.1961712193
103	0.9236141504	0.1960598497
104	0.9235743849	0.1959289777
105	0.9236637964	0.1957847952
106	0.9236041904	0.1956502271
107	0.9235914107	0.1955794267
108	0.9237929217	0.1954163405
109	0.9237929217	0.1953939066
110	0.9239319801	0.1952787256
111	0.9239277131	0.1952345014
112	0.924008595	0.1951765554
113	0.9240426586	0.1950622852
114	0.9241008368	0.1949962337
115	0.9240469333	0.1949130012
116	0.9241689762	0.1948279456
117	0.9242810525	0.1947524591
118	0.9243051572	0.1946570395
119	0.9243037693	0.1945399247
120	0.9242796632	0.1944881683
121	0.9245037898	0.1943826269
122	0.9244853726	0.1943666805
123	0.9245987924	0.1942105174
124	0.924610153	0.1941489571
125	0.9245917413	0.1941065127
126	0.9244456129	0.1939940642
127	0.9244101543	0.1939244188
128	0.9244910529	0.1938353978
129	0.9245265107	0.1938105833
130	0.924727864	0.1937472035
131	0.9246796885	0.1936789737
132	0.9246853694	0.1936294531
133	0.9246315065	0.193516998
134	0.9247024126	0.1934093373
135	0.9247251379	0.1933316405
136	0.9247378634	0.1931345779
137	0.9247521843	0.1930686648
138	0.9248528586	0.1930037886
139	0.9247819559	0.1928915587
140	0.9248571854	0.1927873964
141	0.9248939901	0.1926822059
142	0.9249253833	0.1926340768
143	0.9248956128	0.1925041639
144	0.9250019703	0.1924590364
145	0.9251664963	0.1922694209
146	0.9252557688	0.1922477651
147	0.9252614535	0.1922355825
148	0.925274154	0.1922023377
149	0.9251721809	0.1920950464
150	0.9253196319	0.1920270046
151	0.9252898775	0.1919976989
152	0.9253310021	0.1919833887
153	0.9253253169	0.1918742251
154	0.9254075619	0.1918199686
155	0.9253918301	0.191815132
156	0.9254740642	0.1917810466
157	0.9254613739	0.1915959662
158	0.9255593502	0.1914057327
159	0.92553529	0.191348479
160	0.9255777227	0.1913420038
161	0.9256630227	0.1912853618
162	0.9256870791	0.1911879689
163	0.925681392	0.1911807409
164	0.9257465612	0.1911171485
165	0.9257225082	0.191113953
166	0.9256927663	0.190954093
167	0.9256573356	0.1909174608
168	0.9257990493	0.1908257483
169	0.9257338828	0.1907983547
170	0.9257212032	0.1907457758
171	0.9257824692	0.1906690089
172	0.9259128134	0.1905840319
173	0.9257697897	0.1905362446
174	0.9257444271	0.1904217045
175	0.925945656	0.190370632
176	0.9259272943	0.190301382
177	0.9259614341	0.1902554389
178	0.9259614341	0.1901857306
179	0.9260664392	0.190149238
180	0.9261031512	0.1900867732
181	0.9261740006	0.1899989129
182	0.9263466747	0.1899136645
183	0.9263580565	0.1898298076
184	0.9264712426	0.1897685444
185	0.9265319286	0.1896415866
186	0.926607167	0.1895937242
187	0.9266116057	0.1894661509
188	0.9265648188	0.1894193499
189	0.9264642903	0.1893589224
190	0.9264996985	0.1893133741
191	0.926440263	0.1892419472
192	0.9264459544	0.1891822797
193	0.926586331	0.189111427
194	0.9266672766	0.1890398505
195	0.9266843551	0.1890171781
196	0.9268784481	0.1889261538
197	0.9268076471	0.1889232441
198	0.9266944931	0.188839648
199	0.9268120995	0.1887671987
200	0.9268373549	0.1886588083
201	0.9268361152	0.1885817705
202	0.9268234873	0.1885204587
203	0.9268064057	0.1885187972
204	0.9269183052	0.1884487279
205	0.9270415807	0.1884028442
206	0.92705297	0.1883894671
207	0.9270586648	0.1883654428
208	0.9271945399	0.1883281234
209	0.9272287119	0.188236843
210	0.9272584055	0.1881639918
211	0.9272754926	0.1880844191
212	0.927220582	0.1879869593
213	0.9272319744	0.1879648893
214	0.9272319744	0.1878944576
215	0.9271770514	0.1878536463
216	0.9272604566	0.1877540174
217	0.9273015474	0.1877364392
218	0.927359728	0.1876318115
219	0.9274077204	0.1875966869
220	0.9274545029	0.1874962689
221	0.9273825172	0.1874658248
222	0.9274589969	0.1873533463
223	0.9274463975	0.1873087066
224	0.9274589969	0.187269211
225	0.9274817882	0.1872416144
226	0.9275171774	0.1871997691
227	0.9274041008	0.1871008492
228	0.9273914973	0.1870328689
229	0.9274634914	0.1870096062
230	0.9276278408	0.1868933931
231	0.9276095502	0.1868357113
232	0.9276563354	0.1868113186
233	0.9276677337	0.186716105
234	0.9277088191	0.1866124443
235	0.9277328047	0.1865936543
236	0.9277681875	0.1865437298
237	0.9278149681	0.1863885642
238	0.9277499031	0.1863415523
239	0.927720218	0.1862580254
240	0.9277373169	0.1861778289
241	0.9278263676	0.1861541229
242	0.9278605678	0.1860733217
243	0.9279610049	0.1859912117
