iter	Passed	Remaining
0	274	137132
1	387	96530
2	495	82065
3	606	75198
4	718	71117
5	829	68283
6	949	66898
7	1073	66048
8	1204	65716
9	1326	65015
10	1453	64611
11	1583	64414
12	1707	63970
13	1853	64344
14	1993	64459
15	2124	64277
16	2254	64041
17	2385	63871
18	2519	63782
19	2640	63382
20	2758	62912
21	2880	62578
22	3015	62542
23	3136	62216
24	3256	61870
25	3375	61539
26	3503	61371
27	3620	61027
28	3739	60740
29	3857	60433
30	3978	60193
31	4104	60029
32	4220	59725
33	4343	59532
34	4469	59376
35	4582	59063
36	4704	58868
37	4828	58699
38	4946	58467
39	5066	58259
40	5186	58067
41	5304	57840
42	5424	57649
43	5539	57406
44	5663	57265
45	5789	57135
46	5937	57229
47	6069	57155
48	6200	57072
49	6317	56861
50	6441	56714
51	6576	56654
52	6705	56553
53	6823	56357
54	6943	56176
55	7057	55957
56	7128	55399
57	7243	55200
58	7362	55035
59	7486	54900
60	7602	54713
61	7725	54578
62	7791	54046
63	7912	53904
64	8029	53737
65	8148	53580
66	8265	53417
67	8385	53273
68	8501	53102
69	8623	52973
70	8749	52864
71	8866	52704
72	8995	52620
73	9115	52478
74	9161	51917
75	9223	51455
76	9340	51314
77	9388	50791
78	9507	50667
79	9625	50534
80	9742	50396
81	9861	50270
82	9989	50186
83	10108	50062
84	10230	49948
85	10351	49831
86	10395	49347
87	10519	49251
88	10636	49120
89	10764	49037
90	10886	48927
91	10933	48485
92	11055	48382
93	11178	48282
94	11308	48211
95	11431	48106
96	11559	48027
97	11676	47896
98	11798	47791
99	11924	47699
100	12046	47589
101	12099	47212
102	12233	47154
103	12368	47096
104	12490	46988
105	12628	46938
106	12758	46859
107	12886	46771
108	13029	46737
109	13115	46501
110	13255	46455
111	13385	46369
112	13537	46363
113	13694	46367
114	13836	46322
115	14004	46360
116	14176	46406
117	14338	46416
118	14483	46370
119	14631	46334
120	14776	46284
121	14926	46246
122	15001	45978
123	15155	45956
124	15284	45852
125	15418	45765
126	15545	45657
127	15671	45544
128	15797	45434
129	15916	45299
130	16047	45202
131	16121	44945
132	16254	44852
133	16375	44726
134	16493	44592
135	16620	44484
136	16737	44349
137	16854	44211
138	16972	44079
139	17101	43975
140	17223	43852
141	17346	43732
142	17469	43613
143	17584	43473
144	17696	43327
145	17820	43209
146	17890	42961
147	17929	42643
148	18038	42493
149	18156	42364
150	18271	42230
151	18379	42079
152	18491	41938
153	18618	41832
154	18734	41699
155	18771	41393
156	18885	41259
157	19003	41134
158	19122	41011
159	19241	40887
160	19280	40595
161	19407	40492
162	19526	40370
163	19598	40154
164	19714	40027
165	19753	39744
166	19898	39678
167	20014	39552
168	20134	39434
169	20212	39235
170	20350	39153
171	20483	39061
172	20610	38958
173	20742	38861
174	20867	38753
175	20991	38642
176	21117	38536
177	21245	38432
178	21369	38321
179	21491	38206
180	21606	38080
181	21721	37953
182	21845	37841
183	21976	37743
184	22091	37615
185	22213	37500
186	22336	37386
187	22455	37266
188	22567	37134
189	22692	37024
190	22810	36903
191	22934	36791
192	23050	36666
193	23171	36548
194	23292	36432
195	23417	36320
196	23547	36217
197	23611	36012
198	23740	35908
199	23864	35796
200	23985	35680
201	24114	35574
202	24234	35456
203	24274	35221
204	24389	35097
205	24511	34982
206	24630	34863
207	24758	34756
208	24881	34643
209	24997	34520
210	25111	34394
211	25229	34274
212	25339	34142
213	25447	34009
214	25565	33889
215	25678	33762
216	25799	33645
217	25923	33534
218	26043	33416
219	26152	33284
220	26277	33173
221	26398	33057
222	26517	32938
223	26640	32825
224	26754	32700
225	26875	32582
226	26986	32455
227	27104	32335
228	27211	32202
229	27321	32073
230	27437	31951
231	27557	31833
232	27683	31723
233	27805	31607
234	27927	31492
235	28052	31380
236	28177	31268
237	28294	31148
238	28420	31036
239	28544	30923
240	28660	30801
241	28778	30681
242	28899	30564
243	29015	30442
244	29128	30317
245	29243	30194
246	29362	30076
247	29474	29949
248	29601	29838
249	29731	29731
250	29855	29617
251	29981	29506
252	30100	29386
253	30164	29214
254	30286	29098
255	30404	28979
256	30518	28855
257	30637	28737
258	30752	28615
259	30876	28500
260	30998	28385
261	31129	28277
262	31260	28170
263	31386	28057
264	31511	27943
265	31635	27829
266	31761	27716
267	31879	27597
268	32014	27492
269	32132	27372
270	32253	27254
271	32369	27133
272	32492	27017
273	32612	26898
274	32727	26777
275	32842	26655
276	32961	26535
277	33083	26419
278	33205	26302
279	33321	26181
280	33443	26064
281	33561	25944
282	33681	25826
283	33800	25707
284	33932	25597
285	34053	25480
286	34172	25361
287	34292	25242
288	34396	25113
289	34499	24982
290	34624	24868
291	34747	24751
292	34865	24631
293	34983	24512
294	35094	24387
295	35222	24275
296	35364	24171
297	35493	24059
298	35613	23940
299	35735	23823
300	35807	23673
301	35919	23549
302	36042	23433
303	36159	23313
304	36272	23190
305	36377	23062
306	36476	22931
307	36572	22798
308	36684	22675
309	36802	22556
310	36925	22440
311	37045	22322
312	37155	22198
313	37276	22080
314	37399	21964
315	37516	21845
316	37644	21731
317	37755	21608
318	37874	21490
319	37996	21372
320	38122	21258
321	38287	21165
322	38443	21066
323	38565	20949
324	38681	20828
325	38813	20716
326	38954	20608
327	39094	20500
328	39221	20385
329	39355	20273
330	39477	20156
331	39604	20040
332	39743	19931
333	39874	19817
334	39997	19700
335	40123	19584
336	40263	19474
337	40403	19364
338	40531	19249
339	40658	19133
340	40787	19018
341	40904	18897
342	41015	18773
343	41137	18655
344	41262	18538
345	41392	18423
346	41513	18304
347	41638	18186
348	41767	18071
349	41894	17954
350	42012	17834
351	42116	17708
352	42238	17589
353	42366	17473
354	42493	17356
355	42626	17242
356	42750	17124
357	42891	17012
358	43030	16900
359	43172	16789
